Day,Hour,Temp,Dir,Spd
165,8,0.47440273,120,0.323529412
165,9,0.491467577,120,0.274509804
165,10,0.498293515,120,0.303921569
165,11,0.484641638,120,0.392156863
165,12,0.491467577,120,0.303921569
165,13,0.494880546,120,0.235294118
165,14,0.498293515,120,0.284313725
165,15,0.52559727,120,0.264705882
165,16,0.556313993,120,0.274509804
165,17,0.5221843,120,0.31372549
165,18,0.491467577,120,0.333333333
165,19,0.484641638,120,0.343137255
165,20,0.491467577,120,0.323529412
165,21,0.488054608,120,0.323529412
165,22,0.488054608,120,0.343137255
165,23,0.498293515,120,0.303921569
165,24,0.488054608,120,0.31372549
166,1,0.494880546,120,0.245098039
166,2,0.491467577,120,0.147058824
166,3,0.484641638,110,0.166666667
166,4,0.481228669,120,0.225490196
166,5,0.4778157,120,0.254901961
166,6,0.47440273,120,0.264705882
166,7,0.4778157,110,0.245098039
166,8,0.481228669,120,0.18627451
166,9,0.484641638,120,0.333333333
166,10,0.491467577,120,0.284313725
166,11,0.515358362,110,0.294117647
166,12,0.583617747,120,0.303921569
166,13,0.600682594,120,0.401960784
166,14,0.600682594,120,0.450980392
166,15,0.535836177,120,0.441176471
166,16,0.508532423,120,0.333333333
166,17,0.501706485,120,0.284313725
166,18,0.464163823,110,0.18627451
166,19,0.423208191,110,0.166666667
166,20,0.375426621,30,0.176470588
166,21,0.348122867,360,0.156862745
166,22,0.317406143,360,0.333333333
166,23,0.307167235,360,0.225490196
166,24,0.28668942,20,0.196078431
167,1,0.273037543,360,0.245098039
167,2,0.252559727,360,0.274509804
167,3,0.249146758,10,0.303921569
167,4,0.23890785,360,0.303921569
167,5,0.245733788,10,0.294117647
167,6,0.235494881,10,0.274509804
167,7,0.245733788,10,0.294117647
167,8,0.235494881,10,0.274509804
167,9,0.249146758,10,0.303921569
167,10,0.273037543,,
167,11,0.290102389,10,0.264705882
167,12,0.344709898,360,0.176470588
167,13,0.313993174,10,0.254901961
167,14,0.307167235,10,0.303921569
167,15,0.313993174,10,0.137254902
167,16,0.310580205,10,0.215686275
167,17,0.296928328,20,0.245098039
167,18,0.262798635,10,0.235294118
167,19,0.262798635,10,0.18627451
167,20,0.249146758,10,0.215686275
167,21,0.252559727,30,0.176470588
167,22,0.242320819,20,0.225490196
167,23,0.218430034,50,0.098039216
167,24,0.215017065,20,0.12745098
168,1,0.208191126,10,0.137254902
168,2,0.197952218,10,0.176470588
168,3,0.187713311,10,0.078431373
168,4,0.187713311,350,0
168,5,0.187713311,360,0.009803922
168,6,0.187713311,360,0
168,7,0.187713311,80,0
168,8,0.218430034,70,0
168,9,0.273037543,350,0
168,10,0.33447099,120,0.078431373
168,11,0.412969283,,
168,12,0.440273038,120,0.107843137
168,13,0.491467577,120,0.147058824
168,14,0.529010239,130,0.245098039
168,15,0.491467577,140,0.274509804
168,16,0.47440273,140,0.235294118
168,17,0.416382253,140,0.156862745
168,18,0.365187713,120,0.147058824
168,19,0.337883959,120,0.117647059
168,20,0.33105802,110,0.068627451
168,21,0.320819113,140,0.009803922
168,22,0.307167235,110,0.009803922
168,23,0.317406143,80,0.009803922
168,24,0.303754266,120,0
169,1,0.327645051,120,0
169,2,0.317406143,110,0.049019608
169,3,0.33447099,100,0.068627451
169,4,0.344709898,80,0.196078431
169,5,0.33105802,80,0.196078431
169,6,0.324232082,60,0.156862745
169,7,0.307167235,50,0.078431373
169,8,0.33447099,60,0.137254902
169,9,0.402730375,60,0.078431373
169,10,0.443686007,120,0.205882353
169,11,0.498293515,120,0.166666667
169,12,0.566552901,120,0.156862745
169,13,0.559726962,140,0.294117647
169,14,0.587030717,140,0.254901961
169,15,0.563139932,120,0.235294118
169,16,0.52559727,,
169,17,0.470989761,120,0.235294118
169,18,0.409556314,130,0.176470588
169,19,0.392491468,120,0.235294118
169,20,0.38225256,120,0.137254902
169,21,0.385665529,110,0.068627451
169,22,0.385665529,100,0.068627451
169,23,0.365187713,120,0
169,24,0.372013652,120,0.117647059
170,1,0.372013652,110,0.147058824
170,2,0.375426621,110,0.137254902
170,3,0.38225256,90,0.098039216
170,4,0.38225256,90,0.156862745
170,5,0.372013652,110,0.147058824
170,6,0.372013652,100,0.058823529
170,7,0.375426621,110,0.156862745
170,8,0.402730375,120,0.166666667
170,9,0.460750853,120,0.166666667
170,10,0.535836177,120,0.156862745
170,11,0.597269625,120,0.176470588
170,12,0.610921502,120,0.333333333
170,13,0.610921502,130,0.303921569
170,14,0.610921502,130,0.284313725
170,15,0.583617747,120,0.333333333
170,16,0.549488055,120,0.31372549
170,17,0.501706485,120,0.343137255
170,18,0.457337884,120,0.303921569
170,19,0.447098976,120,0.235294118
170,20,0.443686007,120,0.215686275
170,21,0.436860068,120,0.245098039
170,22,0.433447099,120,0.205882353
170,23,0.433447099,120,0.215686275
170,24,0.433447099,120,0.225490196
171,1,0.43003413,120,0.156862745
171,2,0.416382253,120,0.18627451
171,3,0.43003413,120,0.176470588
171,4,0.43003413,120,0.18627451
171,5,0.409556314,120,0.176470588
171,6,0.43003413,120,0.166666667
171,7,0.423208191,120,0.176470588
171,8,0.450511945,120,0.225490196
171,9,0.464163823,120,0.176470588
171,10,0.614334471,120,0.254901961
171,11,0.662116041,120,0.333333333
171,12,0.607508532,120,0.431372549
171,13,0.62116041,120,0.450980392
171,14,0.655290102,120,0.352941176
171,15,0.631399317,120,0.303921569
171,16,0.566552901,120,0.323529412
171,17,0.559726962,120,0.264705882
171,18,0.498293515,120,0.245098039
171,19,0.484641638,120,0.254901961
171,20,0.488054608,120,0.274509804
171,21,0.481228669,120,0.245098039
171,22,0.467576792,120,0.254901961
171,23,0.467576792,120,0.235294118
171,24,0.457337884,130,0.176470588
172,1,0.457337884,120,0.205882353
172,2,0.453924915,120,0.156862745
172,3,0.447098976,120,0.166666667
172,4,0.450511945,120,0.156862745
172,5,0.467576792,120,0.18627451
172,6,0.484641638,120,0.176470588
172,7,0.488054608,120,0.176470588
172,8,0.498293515,120,0.12745098
172,9,0.631399317,120,0.107843137
172,10,0.648464164,120,0.205882353
172,11,0.631399317,130,0.117647059
172,12,0.627986348,140,0.166666667
172,13,0.614334471,120,0.078431373
172,14,0.651877133,120,0.176470588
172,15,0.658703072,120,0.205882353
172,16,0.655290102,110,0.205882353
172,17,0.624573379,120,0.196078431
172,18,0.556313993,120,0.196078431
172,19,0.52559727,120,0.196078431
172,20,0.532423208,110,0.215686275
172,21,0.511945392,110,0.166666667
172,22,0.515358362,110,0.156862745
172,23,0.501706485,110,0.166666667
172,24,0.501706485,110,0.12745098
173,1,0.494880546,110,0
173,2,0.491467577,140,0
173,3,0.488054608,350,0
173,4,0.470989761,110,0
173,5,0.467576792,110,0
173,6,0.481228669,100,0.009803922
173,7,0.4778157,100,0.009803922
173,8,0.501706485,110,0
173,9,0.62116041,,
173,10,,,
173,11,,,
173,12,,,
173,13,,,
173,14,0.76109215,,
173,15,0.744027304,130,0.147058824
173,16,0.692832765,110,0.205882353
173,17,0.62116041,120,0.284313725
173,18,0.56996587,120,0.264705882
173,19,0.539249147,120,0.117647059
173,20,0.539249147,120,0.088235294
173,21,0.529010239,120,0.039215686
173,22,0.546075085,130,0.107843137
173,23,0.546075085,120,0.137254902
173,24,0.515358362,130,0.215686275
174,1,0.494880546,120,0.225490196
174,2,0.481228669,120,0.196078431
174,3,0.460750853,110,0.235294118
174,4,0.464163823,100,0.205882353
174,5,0.467576792,110,0.294117647
174,6,0.464163823,110,0.18627451
174,7,0.467576792,110,0.235294118
174,8,0.467576792,110,0.235294118
174,9,0.467576792,120,0.284313725
